,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
1746,Petronas_Malaysia_Open,2023-01-14,Malaysia,WS,4,0,41,Japan,Chinesetaipei,Akane Yamaguchi,1.0,Tai Tzu Ying,3.0,21,18,21.0,16.0,,,42,34,2,0,7,0,7,4,12,12,1
1747,Yonex_All_England_Open,2022-03-16,England,MD,4,0,38,Indonesia,Indonesia,"Muhammad Shohibul Fikri, Bagas Maulana",,"Pramudya Kusumawardana, Yeremia Erich Yoche Yacob Rambitan",,21,18,21.0,19.0,,,42,37,2,0,2,0,4,4,3,2,1
1748,Petronas_Malaysia_Open,2023-01-15,Malaysia,MS,4,0,40,Denmark,Japan,Viktor Axelsen,1.0,Kodai Naraoka,,21,6,21.0,15.0,,,42,21,2,0,4,0,9,4,6,1,1
1749,Petronas_Malaysia_Open,2023-01-12,Malaysia,MD,6,0,70,Indonesia,Germany,"Fajar Alfian, Muhammad Rian Ardianto",3.0,"Mark Lamsfuss, Marvin Seidel",,8,21,21.0,19.0,21.0,16.0,50,56,2,1,3,1,8,5,4,1,1
1750,Petronas_Malaysia_Open,2023-01-14,Malaysia,MD,6,0,64,China,India,"Liang Wei Keng, Wang Chang",,"Satwiksairaj Rankireddy, Chirag Shetty",7.0,21,16,11.0,21.0,21.0,15.0,53,52,2,1,2,4,5,7,5,2,1
1751,Yonex_All_England_Open,2020-03-11,England,MS,6,0,59,India,Hongkong,Lakshya Sen,,Lee Cheuk Yiu,,17,21,21.0,8.0,21.0,17.0,59,46,2,1,0,0,0,0,2,2,1
1752,Petronas_Malaysia_Open,2023-01-15,Malaysia,MD,6,0,68,Indonesia,China,"Fajar Alfian, Muhammad Rian Ardianto",3.0,"Liang Wei Keng, Wang Chang",,21,18,18.0,21.0,21.0,13.0,60,52,2,1,7,2,6,4,3,6,1
1753,Yonex_All_England_Open,2023-03-14,England,MS,4,0,51,Indonesia,Thailand,Anthony Sinisuka Ginting,3.0,Kantaphon Wangcharoen,,21,17,21.0,19.0,,,42,36,2,0,7,0,7,4,7,4,1
1754,Petronas_Malaysia_Open,2023-01-11,Malaysia,XD,4,0,32,Thailand,Thailand,"Dechapol Puavaranukroh, Sapsiree Taerattanachai",2.0,"Supak Jomkoh, Supissara Paewsampran",,21,14,21.0,14.0,,,42,28,2,0,2,0,5,3,6,0,1
1755,Yonex_All_England_Open,2023-03-16,England,MD,4,0,44,Indonesia,Malaysia,"Muhammad Shohibul Fikri, Bagas Maulana",,"Ong Yew Sin, Teo Ee Yi",8.0,21,18,21.0,18.0,,,42,36,2,0,3,0,6,5,2,1,1
1756,Yonex_All_England_Open,2023-03-15,England,MD,6,0,66,Indonesia,Korea,"Fajar Alfian, Muhammad Rian Ardianto",1.0,"Kang Min Hyuk, Seo Seung Jae",,20,22,21.0,12.0,21.0,19.0,62,53,2,1,4,2,6,6,3,6,1
1757,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,4,0,24,Chinesetaipei,Spain,Tai Tzu Ying,3.0,Clara Azurmendi,,21,10,21.0,10.0,,,42,20,2,0,4,0,6,4,2,0,1
1758,Petronas_Malaysia_Open,2023-01-14,Malaysia,MS,4,0,46,Denmark,Japan,Viktor Axelsen,1.0,Kanta Tsuneyama,,21,7,21.0,15.0,,,42,22,2,0,8,0,11,5,6,1,1
1759,Petronas_Malaysia_Open,2023-01-12,Malaysia,MS,4,0,59,Japan,Chinesetaipei,Kanta Tsuneyama,,Chou Tien Chen,4.0,23,21,21.0,19.0,,,44,40,2,0,7,0,6,4,3,7,1
1760,Yonex_All_England_Open,2022-03-16,England,MD,4,0,39,Japan,France,"Akira Koga, Taichi Saito",,"Christo Popov, Toma Junior Popov",,21,8,21.0,14.0,,,42,22,2,0,2,0,6,5,1,0,1
