,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Team 1 Name,Player 2 Team 1 Name,Team 1 Seed,Player 1 Team 2 Name,Player 2 Team 2 Name,Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
117,Yonex_All_England_Open,2018-03-14,England,XD,4,0,42,Netherlands,Denmark,Jacco Arends,Selena Piek,0,Joachim Fischer Nielsen,Alexandra Bøje,0,24,22,21,18,0,0,45,40,2,0,8,0,5,4,2,0,1
118,Blibli_Indonesia_Open,2019-07-18,Indonesia,XD,4,0,40,England,Ireland,Chris Adcock,Gabrielle Adcock,0,Sam Magee,Chloe Magee,0,21,17,21,16,0,0,42,33,2,0,9,0,6,6,4,0,1
119,Blibli_Indonesia_Open,2019-07-19,Indonesia,XD,4,0,33,China,England,Zheng Si Wei,Huang Ya Qiong,1,Marcus Ellis,Lauren Smith,0,21,12,21,13,0,0,42,25,2,0,7,0,6,6,4,0,1
120,Victor_China_Open,2019-09-18,China,XD,4,0,44,Thailand,Indonesia,Dechapol Puavaranukroh,Sapsiree Taerattanachai,4,Hafiz Faizal,Gloria Emanuelle Widjaja,0,21,14,21,19,0,0,42,33,2,0,2,0,5,4,6,0,1
121,Blibli_Indonesia_Open,2019-07-18,Indonesia,XD,4,0,44,Malaysia,Korea,Chan Peng Soon,Goh Liu Ying,5,Seo Seung Jae,Chae Yu Jung,0,21,19,21,15,0,0,42,34,2,0,3,0,5,4,2,4,1
122,Blibli_Indonesia_Open,2019-07-18,Indonesia,XD,4,0,31,China,China,Wang Yi Lyu,Huang Dong Ping,2,Ou Xuan Yi,Feng Xue Ying,0,21,14,21,17,0,0,42,31,2,0,2,0,6,4,2,0,1
123,Blibli_Indonesia_Open,2019-07-17,Indonesia,XD,6,0,58,Korea,Japan,Seo Seung Jae,Chae Yu Jung,0,Yuki Kaneko,Misaki Matsutomo,0,21,12,17,21,23,21,61,54,2,1,5,1,6,5,5,0,1
124,Victor_China_Open,2019-09-20,China,XD,4,0,41,Thailand,Malaysia,Dechapol Puavaranukroh,Sapsiree Taerattanachai,4,Goh Soon Huat,Lai Shevon Jemie,0,21,17,21,16,0,0,42,33,2,0,11,0,7,9,11,7,1
125,Yonex_All_England_Open,2019-03-07,England,XD,4,0,30,China,Hongkong,Wang Yi Lyu,Huang Dong Ping,2,Chang Tak Ching,Ng Wing Yung,0,21,17,21,11,0,0,42,28,2,0,2,0,6,4,1,0,1
126,Victor_China_Open,2019-09-18,China,XD,4,0,31,China,Japan,Wang Yi Lyu,Huang Dong Ping,2,Kohei Gondo,Ayane Kurihara,0,21,9,21,18,0,0,42,27,2,0,3,0,6,3,1,0,1
127,Victor_China_Open,2019-09-19,China,XD,4,0,36,Japan,China,Yuta Watanabe,Arisa Higashino,3,He Ji Ting,Du Yue,0,21,12,21,10,0,0,42,22,2,0,3,0,6,3,4,2,1
128,Blibli_Indonesia_Open,2019-07-16,Indonesia,XD,4,0,29,England,Germany,Marcus Ellis,Lauren Smith,0,Marvin Seidel,Linda Efler,0,21,8,21,10,0,0,42,18,2,0,2,0,8,3,6,0,1
129,Victor_China_Open,2019-09-20,China,XD,4,0,31,China,Japan,Zheng Si Wei,Huang Ya Qiong,1,Yuki Kaneko,Misaki Matsutomo,0,21,15,21,15,0,0,42,30,2,0,5,0,4,3,8,0,1
130,Victor_China_Open,2019-09-19,China,XD,6,0,70,Malaysia,England,Goh Soon Huat,Lai Shevon Jemie,0,Marcus Ellis,Lauren Smith,8,18,21,21,17,22,20,61,58,2,1,4,1,4,4,3,3,1
131,Blibli_Indonesia_Open,2019-07-16,Indonesia,XD,4,0,34,Germany,Indonesia,Mark Lamsfuss,Isabel Lohau,0,Praveen Jordan,Melati Daeva Oktavianti,7,22,20,21,14,0,0,43,34,2,0,2,2,5,7,1,2,1
132,Blibli_Indonesia_Open,2019-07-18,Indonesia,XD,4,0,34,Malaysia,Indonesia,Goh Soon Huat,Lai Shevon Jemie,0,Hafiz Faizal,Gloria Emanuelle Widjaja,6,21,15,21,18,0,0,42,33,2,0,3,0,3,3,2,2,1
133,Victor_China_Open,2019-09-20,China,XD,4,0,38,China,Indonesia,Wang Yi Lyu,Huang Dong Ping,2,Tontowi Ahmad,Winny Oktavina Kandow,0,24,22,21,17,0,0,45,39,2,0,3,3,6,6,1,0,1
134,Victor_China_Open,2019-09-17,China,XD,6,0,50,India,Indonesia,Satwiksairaj Rankireddy,Ashwini Ponnappa,0,Praveen Jordan,Melati Daeva Oktavianti,6,22,20,17,21,21,17,60,58,2,1,3,3,5,5,1,1,1
135,Yonex_All_England_Open,2019-03-06,England,XD,6,0,58,China,Malaysia,Wang Yi Lyu,Huang Dong Ping,2,Tan Kian Meng,Lai Pei Jing,0,15,21,21,16,21,12,57,49,2,1,2,1,5,5,7,1,1
136,Yonex_All_England_Open,2018-03-14,England,XD,6,0,56,Japan,Hongkong,Yuta Watanabe,Arisa Higashino,0,Tang Chun Man,Tse Ying Suet,3,18,21,21,18,21,16,60,55,2,1,2,3,10,5,17,2,1
